id,name,nationality,sex,dob,height,weight,sport,gold,silver,bronze,country,countrypopulation,countrygdp_per_capita
302310091,Hanna Hatsko-Fedusova,UKR,female,33149,1.75,75,athletics,0,0,0,Ukraine,45198200,2114.954716
731032288,Hanna Kasyanova,UKR,female,30430,1.78,67,athletics,0,0,0,Ukraine,45198200,2114.954716
865953961,Hanna Kisteleki,HUN,female,33307,1.72,63,aquatics,0,0,0,Hungary,9844686,12363.54346
846150699,Hanna Klinga,SWE,female,32825,1.65,65,sailing,0,0,0,Sweden,9798871,50579.67365
750989988,Hanna Knyazyeva-Minenko,ISR,female,32776,1.79,62,athletics,0,0,0,Israel,8380400,35728.0935
296210121,Hanna Lyczbinska,POL,female,32983,1.78,64,fencing,0,0,0,Poland,37999494,12554.54755
318275998,Hanna Malyshik,BLR,female,34369,1.75,90,athletics,0,0,0,Belarus,9513000,5740.456495
593771185,Hanna Plotitsyna,UKR,female,31778,1.82,73,athletics,0,0,0,Ukraine,45198200,2114.954716
805368469,Hanna Skydan,AZE,female,33738,1.83,101,athletics,0,0,0,Azerbaijan,9651349,5496.34464
550222523,Hanna-Maria Seppala,FIN,female,31029,1.74,60,aquatics,0,0,0,Finland,5482013,42311.03623
980247583,Hannah Amuchechi Rueben,NGR,female,34379,1.65,69,wrestling,0,0,0,Nigeria,182201962,2640.290739
113266724,Hannah Buckling,AUS,female,33758,1.77,75,aquatics,0,0,0,Australia,23781169,56310.96299
679066155,Hannah Cross,AUS,female,35459,1.69,57,aquatics,0,0,0,Australia,23781169,56310.96299
503850224,Hannah Darling,CAN,female,35215,1.74,72,rugby sevens,0,0,1,Canada,35851774,43248.52991
650100624,Hannah Kruger,GER,female,32390,1.73,67,hockey,0,0,1,Germany,81413145,41313.31399
512806453,Hannah Macleod,GBR,female,30842,1.72,67,hockey,1,0,0,United Kingdom,65138232,43875.96961
278564208,Hannah Miley,GBR,female,32728,1.65,53,aquatics,0,0,0,United Kingdom,65138232,43875.96961
931174391,Hannah Mills,GBR,female,32202,1.57,50,sailing,1,0,0,United Kingdom,65138232,43875.96961
888831505,Hannah Wilkinson,NZL,female,33752,1.77,72,football,0,0,0,New Zealand,4595700,37807.96728
467874431,Hanne Grahns,SWE,female,33845,1.67,64,football,0,0,0,Sweden,9798871,50579.67365
588728248,Hannes Aigner,GER,male,32586,1.83,75,canoe,0,0,0,Germany,81413145,41313.31399
633655102,Hannes Obreno,BEL,male,33305,1.87,83,rowing,0,0,0,Belgium,11285721,40324.02777
828126181,Hannes Ocik,GER,male,33397,1.91,93,rowing,0,1,0,Germany,81413145,41313.31399
707380480,Hannibal Gaskin,GUY,male,35672,1.73,68,aquatics,0,0,0,Guyana,767085,4127.351018
759916596,Hans Arne Jensen,TGA,male,35851,1.81,95,archery,0,0,0,Tonga,106170,4098.543929
887983421,Hans Gruhne,GER,male,32360,1.93,92,rowing,1,0,0,Germany,81413145,41313.31399
157732723,Hans Lindberg,DEN,male,29799,1.88,88,handball,0,0,0,Denmark,5676002,51989.29347
191768973,Hans Peter Minderhoud,NED,male,26944,1.9,75,equestrian,0,0,0,Netherlands,16936520,44299.76809
14222550,Hans Podlipnik-Castillo,CHI,male,32151,1.84,79,tennis,0,0,0,Chile,17948141,13416.23004
